Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance_,Previous_qualification,Previous_qualification_grade,Nationality,Mother_s_qualification,Father_s_qualification,Mother_s_occupation,Father_s_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_2nd_sem_enrolled,Unemployment_rate,Inflation_rate,Gdp,Target
1.0,17.0,5.0,171.0,1.0,1.0,122.0,1.0,19.0,12.0,5.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0
1.0,15.0,1.0,9254.0,1.0,1.0,160.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,13.9,-0.3,0.79,1.0
1.0,1.0,5.0,9070.0,1.0,1.0,122.0,1.0,37.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,10.8,1.4,1.74,0.0
1.0,17.0,2.0,9773.0,1.0,1.0,122.0,1.0,38.0,37.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,9.4,-0.8,-3.12,1.0
2.0,39.0,1.0,8014.0,0.0,1.0,100.0,1.0,37.0,38.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,13.9,-0.3,0.79,1.0
2.0,39.0,1.0,9991.0,0.0,19.0,133.1,1.0,37.0,37.0,9.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,5.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,142.0,1.0,19.0,38.0,7.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,15.5,2.8,-4.06,1.0
1.0,18.0,4.0,9254.0,1.0,1.0,119.0,1.0,37.0,37.0,9.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,15.5,2.8,-4.06,0.0
1.0,1.0,3.0,9238.0,1.0,1.0,137.0,62.0,1.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,6.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,9238.0,1.0,1.0,138.0,1.0,1.0,19.0,4.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,8.9,1.4,3.51,0.0
1.0,1.0,1.0,9670.0,1.0,1.0,139.0,1.0,38.0,19.0,5.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,13.9,-0.3,0.79,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,136.0,1.0,19.0,38.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,12.7,3.7,-1.7,1.0
1.0,1.0,2.0,9853.0,1.0,1.0,133.0,1.0,19.0,37.0,4.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,12.7,3.7,-1.7,0.0
1.0,53.0,1.0,9254.0,1.0,42.0,110.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,1.0,1.0,9085.0,1.0,1.0,149.0,1.0,38.0,37.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,10.8,1.4,1.74,1.0
