Protected Attribute,Balanced Accuracy,F1 Score,ROC AUC,Statistical Parity Difference,Disparate Impact Ratio,Equal Opportunity Difference,Average Odds Difference
Marital status,0.7407,0.8108,0.8257,0.2382,1.5461,0.1472,0.1918
Application mode,0.7407,0.8108,0.8257,0.6556,0.0,0.846,0.6056
Application order,0.7407,0.8108,0.8257,0.1805,1.3034,0.101,0.1406
Course,0.7407,0.8108,0.8257,0.0304,1.0486,0.0617,-0.0231
Daytime/evening attendance,0.7407,0.8108,0.8257,-0.1814,0.7303,-0.2262,-0.1534
Previous qualification,0.7407,0.8108,0.8257,0.6593,0.0,0.8473,0.6084
Previous qualification (grade),0.7407,0.8108,0.8257,,,0.8447,0.1041
Nationality,0.7407,0.8108,0.8257,,,0.8447,0.1041
Mother's qualification,0.7407,0.8108,0.8257,-0.0131,0.9803,0.0603,-0.0029
Father's qualification,0.7407,0.8108,0.8257,0.1558,1.3116,0.2763,0.105
Mother's occupation,0.7407,0.8108,0.8257,0.1579,1.3157,0.1333,0.1068
Father's occupation,0.7407,0.8108,0.8257,0.0788,1.1365,0.0331,0.1002
Admission grade,0.7407,0.8108,0.8257,,,0.8447,0.1041
Displaced,0.7407,0.8108,0.8257,-0.187,0.7459,-0.0901,-0.1409
Educational special needs,0.7407,0.8108,0.8257,-0.3488,0.6512,-0.1567,-0.3981
Debtor,0.7407,0.8108,0.8257,0.4866,3.135,0.2388,0.2717
Gender,0.7407,0.8108,0.8257,0.39,1.9886,0.3081,0.2953
Scholarship holder,0.7407,0.8108,0.8257,-0.3992,0.5809,-0.2127,-0.3436
Age at enrollment,0.7407,0.8108,0.8257,-0.3346,0.6308,-0.1441,-0.3251
International,0.7407,0.8108,0.8257,-0.0872,0.8821,-0.1581,-0.1258
Unemployment rate,0.7407,0.8108,0.8257,-0.0576,0.9185,0.0155,-0.0157
Inflation rate,0.7407,0.8108,0.8257,-0.0575,0.9186,-0.0757,-0.0759
GDP,0.7407,0.8108,0.8257,0.003,1.0046,0.0154,-0.0044
